ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2005;2;AC;Resid;109635;15875
2005;2;AM;Resid;496921;78316.6
2005;2;RR;Resid;69245;15026.1
2005;2;PA;Resid;1130824;135499.4
2005;2;AP;Resid;106378;22649
2005;2;TO;Resid;246539;26710.2
2005;2;MA;Resid;1016102;88301.2
2005;2;PI;Resid;606249;51963
2005;2;CE;Resid;1884325;177313.5
2005;2;RN;Resid;738870;79768.3
2005;2;PB;Resid;847416;78452.6
2005;2;AL;Resid;602478;59490.6
2005;2;SE;Resid;478729;47832.5
2005;2;BA;Resid;3175763;309170.1
2005;2;MG;Resid;5172999;559890.8
2005;2;ES;Resid;826856;116100.9
2005;2;RJ;Resid;5313220;870828.1
2005;2;SP;Resid;11884550;2070147.3
2005;2;PR;Resid;2594461;397542.1
2005;2;SC;Resid;1548303;290636.3
2005;2;RS;Resid;2847374;473485.9
2005;2;MS;Resid;560772;83054.4
2005;2;MT;Resid;611565;104701
2005;2;GO;Resid;1583078;201710.8
2005;2;DF;Resid;609020;121621
2005;3;RO;Resid;271193;44612
2005;3;AC;Resid;110313;16882.1
2005;3;AM;Resid;497352;77641.4
2005;3;RR;Resid;69501;14307.4
2005;3;PA;Resid;1130404;139527.4
2005;3;AP;Resid;106378;22649
2005;3;TO;Resid;248201;26105.2
2005;3;MA;Resid;1017092;88043.2
2005;3;PI;Resid;607765;50343
2005;3;CE;Resid;1888399;183338.5
2005;3;RN;Resid;739365;80349.7
2005;3;PB;Resid;842107;76801.3
2005;3;AL;Resid;603977;57972.4
2005;3;SE;Resid;479886;47971.2
2005;3;BA;Resid;3187086;296338
2005;3;MG;Resid;5179600;560495.1
2005;3;ES;Resid;827812;117600.6
2005;3;RJ;Resid;5337553;900342.6
2005;3;SP;Resid;11929128;2132612.3
2005;3;PR;Resid;2600332;389053.1
2005;3;SC;Resid;1552269;281170.6
2005;3;RS;Resid;2855762;484839.8
2005;3;MS;Resid;562155;92202.1
2005;3;MT;Resid;614151;112487.3
2005;3;GO;Resid;1587468;197320.8
2005;3;DF;Resid;611522;118193
2005;4;RO;Resid;272543;42779
2005;4;AC;Resid;110644;15087.4
2005;4;AM;Resid;497059;81575.5
2005;4;RR;Resid;69651;15098.3
2005;4;PA;Resid;1135483;144593.9
2005;4;AP;Resid;106378;22649
2005;4;TO;Resid;248564;28586.2
2005;4;MA;Resid;1018319;90785.6
2005;4;PI;Resid;609385;51135
2005;4;CE;Resid;1893220;184220.8
2005;4;RN;Resid;740792;87988.2
2005;4;PB;Resid;843914;78728.6
2005;4;AL;Resid;605702;60191.5
2005;4;SE;Resid;481038;48194.5
2005;4;BA;Resid;3197632;297905
2005;4;MG;Resid;5186922;609841.3
2005;4;ES;Resid;829488;125022.9
2005;4;RJ;Resid;5346181;959439.3
2005;4;SP;Resid;11946316;2229431.5
2005;4;PR;Resid;2607186;413205.4
2005;4;SC;Resid;1555949;303494
2005;4;RS;Resid;2858909;463334.5
2005;4;MS;Resid;563482;90868
2005;4;MT;Resid;615834;111940.9
2005;4;GO;Resid;1591624;208335.5
2005;4;DF;Resid;613092;120602
2005;5;RO;Resid;273200;42074
2005;5;AC;Resid;110788;15362.7
2005;5;AM;Resid;485882;75404.6
2005;5;RR;Resid;69451;13314.4
2005;5;PA;Resid;1138426;143909.5
2005;5;AP;Resid;108238;20892.7
2005;5;TO;Resid;249400;27723
2005;5;MA;Resid;1020388;90215.6
2005;5;PI;Resid;611931;52147
2005;5;CE;Resid;1896825;182373
2005;5;RN;Resid;742805;83005.7
2005;5;PB;Resid;833080;75523.3
2005;5;AL;Resid;605029;60101
2005;5;SE;Resid;482140;46867.4
2005;5;BA;Resid;3208578;290164
2005;5;MG;Resid;5194434;580757
2005;5;ES;Resid;831909;108386.1
2005;5;RJ;Resid;5283568;849608.9
2005;5;SP;Resid;11993297;2116809.3
2005;5;PR;Resid;2610041;393393.2
2005;5;SC;Resid;1559773;270308.4
2005;5;RS;Resid;2861807;435400.4
2005;5;MS;Resid;562567;82302.6
2005;5;MT;Resid;619620;106144.9
2005;5;GO;Resid;1596006;202095.8
2005;5;DF;Resid;614982;115384
2005;6;RO;Resid;274223;43170
2005;6;AC;Resid;111164;17016.4
2005;6;AM;Resid;488174;82917.4
2005;6;RR;Resid;69392;13300.8
2005;6;PA;Resid;1142639;147106.7
2005;6;AP;Resid;108238;20621
2005;6;TO;Resid;250766;28583.3
2005;6;MA;Resid;1036590;93280.4
2005;6;PI;Resid;614040;52382
2005;6;CE;Resid;1902430;175902.7
