ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2005;12;ES;Total;;645852.5
2005;12;RJ;Total;;2789956.3
2005;12;SP;Total;;8793529.4
2005;12;PR;Total;;1734921
2005;12;SC;Total;;1275985
2005;12;RS;Total;;1937836.9
2005;12;MS;Total;;283976.4
2005;12;MT;Total;;352507.8
2005;12;GO;Total;;672949.3
2005;12;DF;Total;;350343
2006;1;RO;Total;;122877
2006;1;AC;Total;;39805.1
2006;1;AM;Total;;298210
2006;1;RR;Total;;30879.2
2006;1;PA;Total;;1115851.2
2006;1;AP;Total;;46759.9
2006;1;TO;Total;;73549.5
2006;1;MA;Total;;815423.6
2006;1;PI;Total;;135330
2006;1;CE;Total;;595421
2006;1;RN;Total;;292111.2
2006;1;PB;Total;;269455.4
2006;1;PE;Total;;736715.3
2006;1;AL;Total;;306138.5
2006;1;SE;Total;;219440.4
2006;1;BA;Total;;1543146.4
2006;1;MG;Total;;3708988.2
2006;1;ES;Total;;657079.8
2006;1;RJ;Total;;2688250.4
2006;1;SP;Total;;8641301.9
2006;1;PR;Total;;1750081.3
2006;1;SC;Total;;1238641.6
2006;1;RS;Total;;1938876.8
2006;1;MS;Total;;279925.8
2006;1;MT;Total;;322865
2006;1;GO;Total;;678989.9
2006;1;DF;Total;;334796.2
2006;2;RO;Total;;116242
2006;2;AC;Total;;39150.6
2006;2;AM;Total;;304794.7
2006;2;RR;Total;;31221
2006;2;PA;Total;;1033671.9
2006;2;AP;Total;;46371.4
2006;2;TO;Total;;74900.3
2006;2;MA;Total;;756882.9
2006;2;PI;Total;;130490
2006;2;CE;Total;;567170.6
2006;2;RN;Total;;298099.1
2006;2;PB;Total;;265295.6
2006;2;PE;Total;;695496.4
2006;2;AL;Total;;304670.5
2006;2;SE;Total;;215680.9
2006;2;BA;Total;;1470255.1
2006;2;MG;Total;;3696699.7
2006;2;ES;Total;;669631.9
2006;2;RJ;Total;;2868408.5
2006;2;SP;Total;;8944077.5
2006;2;PR;Total;;1774675.8
2006;2;SC;Total;;1360618.7
2006;2;RS;Total;;2051927.9
2006;2;MS;Total;;282430.6
2006;2;MT;Total;;352411.1
2006;2;GO;Total;;684590.7
2006;2;DF;Total;;347621.2
2006;3;RO;Total;;120809
2006;3;AC;Total;;39284.6
2006;3;AM;Total;;302554
2006;3;RR;Total;;31184
2006;3;PA;Total;;1126979.1
2006;3;AP;Total;;45138
2006;3;TO;Total;;75111.3
2006;3;MA;Total;;815147
2006;3;PI;Total;;125245
2006;3;CE;Total;;561689.2
2006;3;RN;Total;;317714.6
2006;3;PB;Total;;270569.9
2006;3;PE;Total;;769090.6
2006;3;AL;Total;;326531.4
2006;3;SE;Total;;226488.5
2006;3;BA;Total;;1563545.6
2006;3;MG;Total;;3621786.5
2006;3;ES;Total;;700442.1
2006;3;RJ;Total;;2769129.8
2006;3;SP;Total;;9181858.3
2006;3;PR;Total;;1765044.2
2006;3;SC;Total;;1419444.3
2006;3;RS;Total;;2027020.8
2006;3;MS;Total;;290346.6
2006;3;MT;Total;;372387.5
2006;3;GO;Total;;685898.8
2006;3;DF;Total;;347386.8
2006;4;RO;Total;;121517
2006;4;AC;Total;;41205.7
2006;4;AM;Total;;315254.4
2006;4;RR;Total;;30199
2006;4;PA;Total;;1101862.8
2006;4;AP;Total;;48462
2006;4;TO;Total;;75152.5
2006;4;MA;Total;;823687.2
2006;4;PI;Total;;128022
2006;4;CE;Total;;555420.3
2006;4;RN;Total;;296291.3
2006;4;PB;Total;;272794.7
2006;4;PE;Total;;736370.8
2006;4;AL;Total;;325870.6
2006;4;SE;Total;;223170.5
2006;4;BA;Total;;1494711
2006;4;MG;Total;;3808440.2
2006;4;ES;Total;;669347
2006;4;RJ;Total;;2816916.3
2006;4;SP;Total;;9199514.9
2006;4;PR;Total;;1799544
2006;4;SC;Total;;1334744.7
